Lost High-Value Customer,流失高價客,
Lost Regular Customer,流失普通客,
Lost Low-Value Customer,流失低價客,
Dormant Customer,休眠客戶,
Other Customer,其他客戶,
Exclusive Service / New Product Priority / Brand Ambassador,專屬服務/新品優先/品牌大使,
Bundle Offers / Upgrade Incentives / Loyalty Missions,組合優惠/升級激勵/忠誠任務,
Increase Purchase Frequency / Regular Recommendations,提高購買頻率/定期推薦,
Steady Operations / Continuous Engagement,穩定營運/持續互動,
Build Purchase Habits / New Customer Exclusive Offers,建立購買習慣/新客專屬優惠,
Cultivate Interest / Gamified Marketing,培養興趣/遊戲化行銷,
Trial Coupons / Entry Offers / Cross-Brand Events,體驗券/入門優惠/跨品牌活動,
Increase AOV / Recommend High-Value Products,提升客單價/推薦高價值商品,
Brand Care / Birthday Gift / Event Invitation,品牌關懷/生日禮/活動邀請,
Repurchase Reminder / Exclusive Offers,回購提醒/專屬優惠,
Small Coupons / Stay in Touch,小額優惠券/保持聯繫,
Repurchase Reminder / VIP Wake-Up Gift / Retargeting,回購提醒/VIP喚醒禮/再行銷,
New Product Recommendations / Brand Story / Mission Rewards,新品推薦/品牌故事/任務獎勵,
Small Trial / Entry Recommendations,小額試用/入門推薦,
Build Purchase Regularity / Regular Reminders,建立購買規律/定期提醒,
Cultivate Habits / Gamified Interaction,培養習慣/遊戲化互動,
Low-Cost Exposure / Re-Registration Incentives,低成本曝光/重新註冊激勵,
Priority Win-Back / Exclusive Offers / Phone Outreach,重點挑回/專屬優惠/電話關懷,
Countdown Offers / Satisfaction Survey,倒數優惠/滿意度調查,
Small Wake-Up / Brand Care,小額喚醒/品牌關懷,
Retargeting Ads / Exclusive Offers / Phone Outreach,再行銷廣告/專屬優惠/電話關懷,
Retargeting / Return Offers,再行銷/回流優惠,
Low-Cost Retargeting,低成本再行銷,
Basic Maintenance,基礎維護,
Awakening / Return,喚醒/回流,
Relationship Repair,關係修復,
Cost Control,成本控制,
New Customer Nurturing,新客培養,
Low-Cost Nurturing,低成本培養,
Standard Nurturing (Conservative),標準培養（保守）,
Standard Nurturing (Core),標準培養（核心）,
Standard Nurturing (Advanced),標準培養（進階）,
VIP Maintenance (Low Stability),VIP 維護（低穩定）,
VIP Maintenance (Mid Stability),VIP 維護（中穩定）,
VIP Maintenance (High Stability),VIP 維護（高穩定）,
Premium Retention,尊榮培養,
Prevent Churn,阻止流失,
Reduce Dissatisfaction,降低不滿,
Avoid Waste,避免浪費,
Build Trust,建立信任,
Don't Give Up,不放棄,
Build Rhythm,建立節奏,
Expand Demand,擴展需求,
Increase AOV,提高客單價,
Improve Stability,提高穩定度,
Maintain Satisfaction,維持滿意度,
Deepen Loyalty,深化忠誠,
Stabilize Relationship,穩定關係,
Full Coverage,全面覆蓋,
"Send wake-up coupons, exclusive return discounts, retargeting ads",發送喚醒優惠券、專屬回流折扣、再行銷廣告觸及,
"Satisfaction survey, dedicated customer service follow-up, compensatory offers",滿意度調查、專屬客服跟進、補償性優惠,
"Low-cost exposure, automated marketing, reduce manual investment",低成本曝光、自動化行銷、減少人工投入,
"Welcome gift, new customer exclusive offers, second purchase incentive",歡迎禮、新手專屬優惠、第二次購買激勵,
"Automated recommendations, low-cost content marketing, community interaction",自動化推薦、低成本內容行銷、社群互動,
"Regular push notifications, purchase reminders, build purchase habits",定期推送、購買提醒、培養購買習慣,
"Cross-selling, new product recommendations, increase AOV",交叉銷售、新品推薦、提升客單價,
"High-value product recommendations, membership upgrade, exclusive events",高價值商品推薦、會員升級、專屬活動,
"Regular repurchase reminders, dedicated customer service, stability rewards",定期回購提醒、專屬客服、穩定度獎勵,
"Exclusive offers, brand event invitations, new product early access",專屬優惠、品牌活動邀請、新品優先體驗,
"Brand ambassador program, dedicated service, co-creation events",品牌大使計畫、專屬服務、共創活動,
"Dedicated service, brand events, membership privileges",專屬服務、品牌活動、會員特權,
"Regular push notifications, basic offers, continuous engagement",定期推送、基礎優惠、持續互動,
Trending Inactive,趨於不活躍,
Trending Active,趨於活躍,
Stable,穩定,
All,全部,
High,高,
Mid,中,
Low,低,
Column,欄位,
Description,說明,
Customer ID,客戶ID,
RFM Score (3-15),RFM 綜合分數（3-15）,
Recency (days),最近購買日（天）,
Purchase Frequency,購買頻率,
Purchase Amount,購買金額,
Activity (ni<4 = NA),活躍度（ni<4 為 NA）,
Status (N/E0/S1/S2/S3),動態（N/E0/S1/S2/S3）,
Churn Probability (0-1),流失機率（0-1）,
Transaction Count,交易次數,
"Avg Purchase Interval (days, ni<=1 = NA)","平均購買間隔（天，ni<=1 為 NA）",
Total Spent,歷史總消費,
Predicted CLV,預測終生價值,
Risk Level (High/Mid/Low),風險等級（高/中/低）,
Stability Level (High/Mid/Low),穩定度等級（高/中/低）,
Value Level (High/Mid/Low),價值等級（高/中/低）,
RSV Customer Type (27 types),RSV 客戶類型（27 種）,
Marketing Strategy (13 types),主策略（13 種）,
Marketing Purpose,行銷目的,
Marketing Recommendation,行銷建議,
customer_id,客戶ID,
rfm_score,顧客價值分數（RFM）,
r_value,最近購買日（R）,
f_value,購買頻率（F）,
m_value,購買金額（M）,
cai_activity,顧客活躍度（CAI）,
nes_status,顧客狀態（NES）,
churn_prob,流失機率,
transaction_count,交易次數,
avg_purchase_interval,平均購買間隔,
total_spent,歷史消費,
clv,顧客終生價值（CLV）,
r_level,風險等級,
s_level,穩定度等級,
v_level,價值等級,
customer_type,客戶類型,
marketing_strategy,行銷策略,
marketing_purpose,行銷目的,
marketing_recommendation,行銷建議,
CLV,顧客終生價值（CLV）,
RFM,顧客價值分數（RFM）,
Customer Value (RFM),顧客價值（RFM）,
Customer Activity (CAI),顧客活躍度（CAI）,
Customer Status (NES),顧客狀態（NES）,
Customer Structure,顧客結構,
Lifecycle Prediction,生命週期預測,
Avg Purchase Cycle,平均購買週期,
Avg Order Value,平均客單價,
days,天,
Avg Frequency,平均購買頻率,
Avg Recency,平均最近購買天數,
R Distribution,R 分佈,
F Distribution,F 分佈,
M Distribution,M 分佈,
R Segments,R 分群,
F Segments,F 分群,
M Segments,M 分群,
R Recommendation,R 建議,
F Recommendation,F 建議,
M Recommendation,M 建議,
R Level,最近購買日等級,
F Level,購買頻率等級,
M Level,購買金額等級,
Avg CAI,平均 CAI,
CAI Segment Distribution,CAI 分群分佈,
CAI Index Distribution,CAI 指數分佈,
CAI vs Monetary,CAI vs 消費金額,
CAI Marketing Recommendations,CAI 行銷建議,
Activity Level,活躍度等級,
Increasingly Active,漸趨活躍,
Gradually Inactive,漸趨靜止,
NES Status Distribution,NES 狀態分佈,
Churn Risk Distribution,流失風險分佈,
Estimated Days to Churn,預估流失天數,
P(alive) Distribution,留存機率分佈,
NES Marketing Recommendations,NES 行銷建議,
High Risk Customer List,顧客狀態清單,
Estimated Days,預估天數,
Expected Transactions,預期交易次數,
Purchase Cycle Distribution,購買週期分佈,
Monetary Distribution,消費金額分佈,
Past Customer Value (PCV),過去顧客價值（PCV）,
Customer Retention Index (CRI),顧客交易穩定度（CRI）,
PCV Recommendations,過去顧客價值建議,
CRI Recommendations,顧客交易穩定度建議,
Avg Purchase Interval,平均購買間隔,
CLV Distribution,顧客終生價值分佈,
CLV vs P(alive) Matrix,顧客終生價值 vs 留存機率矩陣,
Rescue Priority List,搶救優先名單,
High value customers with low survival probability — prioritize retention efforts,高價值但低留存率顧客 — 優先執行留客措施,
Lifecycle Prediction Detail,生命週期預測明細,
High CLV Customers,高終生價值顧客,
Avg Survival Rate,平均留存率,
Avg Expected Transactions,平均預期交易次數,
No high-value at-risk customers found,未發現高價值高風險顧客,
Tenure (days),客齡（天）,
Total Purchases,總購買次數,
Status,狀態,
Total Revenue,總營收,
ARPU,平均客單價（ARPU）,
Transaction Consistency,交易穩定度,
AOV: New vs Core Customers,新客 vs 核心客戶客單價,
Pareto 80/20 Curve,帕累托 80/20 曲線,
Revenue Segment Distribution,營收分群分佈,
Top Revenue Customers,高營收顧客排行,
New,新客,
Core,核心客戶,
% Customers (cumulative),客戶百分比（累計）,
% Revenue (cumulative),營收百分比（累計）,
Mid-High,中高,
Mid-Low,中低,
Rank,排名,
Acquisition Funnel,獲客漏斗,
Customer Acquisition Detail,顧客獲取明細,
Active Customers,活躍顧客,
New Customer Rate,新客比率,
Repeat Purchase Rate,回購率,
Customer Total,顧客總數,
Cumulative Customers,累積顧客數,
Customer Growth Rate,顧客新增率,
Customer Change Rate,顧客變動率,
Drowsy,淺眠,
Half-Sleeping,半睡,
Dormant,沉睡,
First Purchase,首次購買,
Repeat Purchase,回購,
Multi-Purchase (4+),多次購買（4+）,
Core Customer,核心客戶,
Purchases,購買次數,
Recency,最近購買天數,
Activity Scatter (CAI vs Spending),活躍度散佈圖（CAI vs 消費）,
Conversion Funnel,轉換漏斗,
Purchase Pattern (Freq vs IPT),購買模式（頻率 vs 購買間隔）,
Reactivation Opportunity,再活化機會,
Loyalty Ladder,忠誠度階梯,
Avg Purchase Frequency,平均購買頻率,
Avg Inter-Purchase Time,平均購買間隔,
Avg Inter-Purchase Time (days),平均購買間隔（天）,
Customer Activity Index (CAI),顧客活躍度指數（CAI）,
1 purchase,1 次購買,
2 purchases,2 次購買,
3-4 purchases,3-4 次購買,
5+ purchases,5+ 次購買,
Insufficient Data,資料不足,
Frequency,購買頻率,
No Sleeping Customers,無沉睡顧客,
One-time,一次客,
Repeat,回購客,
Regular,常客,
Loyal,忠誠客,
VIP,VIP 客戶,
Customer Structure (NES),顧客結構（NES）,
Churn Risk Analysis,流失風險分析,
Retention Strategy by Status,依狀態制定留存策略,
Retention Overview,留存概覽,
New Customer,新客戶,
Retention Rate,留存率,
Churn Rate,流失率,
At-Risk Customers,風險顧客,
Core Customer Ratio,核心客戶比例,
Predicted Dormant,預測沉睡,
N (New),N（新客）,
E0 (Core),E0（主力）,
S1 (Drowsy),S1（瞌睡）,
S2 (Half-Sleep),S2（半睡）,
S3 (Dormant),S3（沈睡）,
High Risk,高風險,
Medium Risk,中風險,
Low Risk,低風險,
Unknown,未知,
Retention Analysis Overview,留存分析概覽,
"Overall customer retention status and key metrics",整體顧客留存狀態與關鍵指標,
"Total customers: ",總顧客數：,
"Active (N+E0): ",活躍顧客（N+E0）：,
"At-risk (S1+S2+S3): ",風險顧客（S1+S2+S3）：,
"Avg churn probability: ",平均流失機率：,
New Customer Strategy,新客策略,
Convert one-time buyers into repeat customers,讓首購顧客成為回購顧客,
"New customers: ",新客數：,
"Avg spend: $",平均消費：$,
"Action: Welcome series, second purchase incentive, personalized recommendations","行動：歡迎禮、第二次購買激勵、個人化推薦",
Core Customer Deepening,核心客戶深耕,
Strengthen relationships with active customers,深化與活躍顧客的關係,
"Core customers: ",核心客戶數：,
"Avg CLV: $",平均顧客終生價值：$,
"Action: Loyalty programs, VIP benefits, cross-sell recommendations","行動：忠誠計畫、VIP 福利、交叉銷售推薦",
Drowsy Customer Awakening,淺眠客戶喚醒,
Re-engage customers showing early signs of inactivity,重新接觸開始出現不活躍跡象的顧客,
"Drowsy customers: ",淺眠客戶數：,
"Avg days since purchase: ",平均距上次購買天數：,
"Action: Reminder emails, limited-time offers, repurchase incentives","行動：提醒信、限時優惠、回購激勵",
Half-Sleeping Customer Retention,半睡客戶留存,
Urgent action needed for semi-dormant customers,半睡客戶急需採取行動,
"Half-sleeping customers: ",半睡客戶數：,
"Avg churn prob: ",平均流失機率：,
"Action: Personalized win-back offers, satisfaction surveys, escalated outreach","行動：個人化挽回優惠、滿意度調查、升級觸達",
Dormant Customer Activation,沉睡客戶活化,
Low-cost strategies for long-dormant customers,以低成本策略觸及長期沉睡顧客,
"Dormant customers: ",沉睡客戶數：,
"Historical avg spend: $",歷史平均消費：$,
"Action: Low-cost re-exposure, retargeting ads, re-registration incentive","行動：低成本再曝光、再行銷廣告、重新註冊激勵",
Dashboard Overview,總覽儀表板,
High Risk Ratio,高風險比例,
VIP Customers,VIP 客戶,
Awaiting Awakening,待喚醒客戶,
Core Customers (E0),核心客戶（E0）,
Activity Index (CAI),活躍度指數（CAI）,
Marketing Strategy Distribution,行銷策略分佈,
Generate AI Insight,產生 AI 洞察,
AI Customer Insight,AI 客戶洞察,
unclassified,未分類,
R,最近購買日（R）,
F,購買頻率（F）,
M,購買金額（M）,
CAI ECDF,活躍度百分位（CAI ECDF）,
NES Ratio,新舊客比率（NES Ratio）,
P(alive),留存機率（P(alive)）,
PCV,過去顧客價值（PCV）,
CRI,顧客交易穩定度（CRI）,
Avg Purchase Interval (days),平均購買間隔（天）,
Chart Interpretation,📊 圖表解讀說明,
activity_scatter_desc,此散佈圖展示客戶的活躍度與消費關係：,
activity_scatter_x,橫軸：活躍度指數（CAI），正值表示活躍上升，負值表示活躍下降,
activity_scatter_y,縱軸：總消費金額,
activity_scatter_color,點的顏色：代表購買頻率（色階從低到高）,
activity_scatter_size,點的大小：反映購買頻率,
activity_scatter_ideal,理想狀態是多數客戶集中在右上角（高活躍度、高消費）,
funnel_desc,漏斗圖展示客戶從首購到忠誠的轉化過程：,
funnel_first,1次購買：新客基數（100%）,
funnel_second,2次購買：二購轉化率 = 2次購買客戶數 ÷ 總客戶數,
funnel_regular,3-4次：常客轉化率,
funnel_loyal,≥5次：忠誠客戶轉化率,
funnel_note,轉化率越高，表示客戶忠誠度經營越成功,
patterns_desc,散佈圖展示每個客戶的購買頻率與週期關係：,
patterns_x,橫軸：購買頻率（總購買次數）,
patterns_y,縱軸：平均購買週期（兩次購買間隔天數）,
patterns_size,點的大小：總消費金額,
patterns_color,顏色：客戶價值分群,
patterns_ideal,理想客戶位於右下角：高頻率、短週期、大消費,
reactivation_desc,圖表列出沉睡客（S1/S2/S3）按狀態分布：,
reactivation_status,各沉睡狀態：S1（淺眠）、S2（半睡）、S3（沈睡）,
reactivation_count,長條高度：各狀態客戶數,
reactivation_use,用途：優先處理 S3 沉睡客群，發送喚醒方案,
reactivation_priority,重點關注 S3 沉睡客戶，防止永久流失,
aov_bar_desc,比較新客與核心客戶的平均客單價差異：,
aov_bar_new,新客（N）：首次購買的客戶平均消費,
aov_bar_core,核心客（E0）：持續活躍客戶的平均消費,
aov_bar_use,用途：若核心客單價遠高於新客，可設計升單策略引導新客提高消費,
clv_scatter_desc,散佈圖展示每位顧客的歷史消費與預測終生價值：,
clv_scatter_x,橫軸：歷史總消費金額,
clv_scatter_y,縱軸：顧客終生價值（CLV）,
clv_scatter_line,紅色虛線：CLV 前 20% 門檻（高價值顧客線）,
clv_scatter_ideal,紅色點為高價值客戶，優先投入資源維護,
pareto_desc,Pareto 曲線展示營收集中度（80/20 法則）：,
pareto_x,橫軸：客戶佔比（按消費金額由高到低排列）,
pareto_y,縱軸：累積營收佔比,
pareto_line,紅色虛線：20% 客戶 / 80% 營收標記線,
pareto_ideal,曲線越陡峭表示營收越集中於少數客戶，需注意風險分散,
revenue_pie_desc,圓餅圖展示客戶依消費金額的分群分布：,
revenue_pie_segments,四個象限：高消費 / 中高 / 中低 / 低消費（按四分位數劃分）,
revenue_pie_use,用途：評估客戶消費結構是否健康，避免過度集中於單一族群,
revenue_pie_ideal,理想分布為金字塔型：少量高消費 + 大量中低消費的穩定基盤,
Value Segmentation,客戶價值分群,
Value Tier,價值分群,
High Value,高價值,
Medium Value,中價值,
Low Value,低價值,
Medium Value Customers,中價值顧客,
Low Value Customers,低價值顧客,
Value Score Distribution,價值分數分佈,
Value Score,價值分數,
AI is analyzing your data...,AI 正在分析您的資料...,
AI Data Insight,AI 資料洞察,
World Market Distribution,世界市場分佈,
World Market Map,全球戰情室,
Total Countries,國家總數,
Largest Market,最大市場,
Top 3 Market Share,前三大市場佔比,
Revenue,營收,
Order Count,訂單數,
Country,國家,
All Countries,所有國家,
Select KPI,選擇指標,
Country Details,國家明細,
No Geographic Data,無地理資料,
Recent Buyer,近期購買者,
Medium Inactive,中度不活躍,
Long Inactive,長期不活躍,
High Frequency,高頻率,
Medium Frequency,中頻率,
Low Frequency,低頻率,
Main Customer,主力客,
Risk Customer,瞌睡客,
Lost Customer,半睡客,
Deep Sleep Customer,沈睡客,
NES Status - N,新客（N）,
NES Status - E0,主力客（E0）,
NES Status - S1,瞌睡客（S1）,
NES Status - S2,半睡客（S2）,
NES Status - S3,沈睡客（S3）,
High Engagement,高顧客交易穩定度,
Medium Engagement,中顧客交易穩定度,
Low Engagement,低顧客交易穩定度,
Recency Marketing Strategy,最近購買時間行銷策略,
Frequency Marketing Strategy,購買頻率行銷策略,
Monetary Marketing Strategy,購買金額行銷策略,
Customer Activity Marketing Strategy,顧客活躍度行銷策略,
Past Customer Value Marketing Strategy,過去價值行銷策略,
Customer Relationship Marketing Strategy,顧客交易穩定度行銷策略,
Customer Status Marketing Strategy,顧客狀態行銷策略,
Deepen Engagement,深化經營,
Maintain Interaction,維持互動,
Win-Back Activation,喚回活化,
Standard Maintenance,標準維護,
Loyalty Deepening,忠誠度深化,
Stable Maintenance,穩定維護,
Frequency Boost,頻率提升,
Value Maximization,價值最大化,
Upselling,向上銷售,
Value Enhancement,價值提升,
Capture Growth Momentum,把握成長動能,
Urgent Win-Back,緊急挽回,
Standard Service,標準服務,
Value Nurturing,價值培育,
Core Customer Management,核心客戶經營,
Potential Development,潛力開發,
Engagement Boost,參與度提升,
Basic Interaction,基礎互動,
Core Maintenance,核心維護,
Risk Management,風險管理,
Win-Back Strategy,召回策略,
Low-Cost Maintenance,低成本維護,
Cross-sell related products,交叉銷售相關產品,
Provide VIP exclusive offers,提供VIP專屬優惠,
Invite to new product trials,邀請參加新品體驗,
Regular content push,定期推送內容,
Seasonal promotions,季節性促銷,
Member points rewards,會員積分獎勵,
Send personalized win-back emails,發送個人化召回郵件,
Provide limited-time coupons,提供限時優惠券,
Push nostalgic products,推送懷舊產品,
Regular care,定期關懷,
Product update notifications,產品更新通知,
Member benefits,會員福利,
VIP membership program,VIP會員計畫,
Bulk purchase discounts,大量採購優惠,
Dedicated customer service,專屬客服,
Cumulative spending rewards,累積消費獎勵,
Birthday offers,生日優惠,
Post-purchase follow-up,首購後跟進,
Free sample gifts,試用品贈送,
Purchase reminders,購買提醒,
Regular promotions,定期促銷,
Product recommendations,產品推薦,
Satisfaction surveys,滿意度調查,
Premium product recommendations,高端產品推薦,
Customized services,客製化服務,
VIP experience,尊榮體驗,
Upgrade product recommendations,升級產品推薦,
Bundle sales,組合銷售,
Membership upgrade,會員升級,
Entry product recommendations,入門產品推薦,
Combo offers,組合優惠,
Installment payments,分期付款,
Recommend new products,推薦新品,
Increase interaction frequency,加強互動頻率,
Provide upgrade plans,提供升級方案,
Seasonal activities,季節性活動,
Maintain current services,維持現有服務,
Personalized care,個人化關懷,
Special offers,特殊優惠,
Understand churn reasons,了解流失原因,
Basic maintenance,基礎維護,
Product updates,產品更新,
Customer surveys,客戶調查,
VIP dedicated services,VIP專屬服務,
Provide premium products,提供高端產品,
Customized plans,客製化方案,
Entry offers,入門優惠,
Educational content,教育內容,
Small trial offers,小額試用,
Upgrade guidance,升級引導,
Loyalty programs,忠誠度計畫,
Priority service,優先服務,
Exclusive activities,專屬活動,
Co-create value,共創價值,
Goal setting,目標設定,
Stage rewards,階段獎勵,
Social interaction,社群互動,
Interaction incentives,互動激勵,
Simplify process,簡化流程,
New user onboarding,新手引導,
Regular communication,定期溝通,
Opinion collection,意見收集,
Service improvement,服務改善,
Welcome package,歡迎禮包,
First purchase offer,首購優惠,
VIP services,VIP服務,
Loyalty rewards,忠誠獎勵,
Early warning care,預警關懷,
Retention plans,挽留方案,
Awakening activities,喚醒活動,
Repositioning,重新定位,
Automated recommendations,自動化推薦,
Low-cost exposure,低成本曝光,
Regular care and maintenance,定期關懷維護,
Provide personalized services,提供個人化服務,
Build long-term relationships,建立長期關係,
N,新客（N）,
E0,主力客（E0）,
S1,瞌睡客（S1）,
S2,半睡客（S2）,
S3,沈睡客（S3）,
P(alive) Tooltip,留存機率：根據 BG/NBD 模型計算顧客仍為活躍的機率。數值介於 0~1，越接近 1 代表顧客越可能持續購買。,
NES Ratio Tooltip,NES 比率：顧客的預期交易次數與實際交易次數的比值。比率 > 1 表示購買頻率高於預期（活躍），< 1 表示低於預期（可能流失中）。,
Metric Explanations,指標說明,
View Mode,檢視模式,
World Map,世界地圖,
World Market Map,全球戰情室,
US States,美國各州,
State,州別,
%s (%d minutes remaining),%s（剩餘 %d 分鐘）,
%s (Remaining %d attempts),%s（剩餘 %d 次嘗試）,
A report is already being generated. Please do not click again.,報告生成中，請勿重複點擊,
AI is generating the complete report...,AI 正在生成完整報告...,
AI report generation failed,AI 報告生成失敗,
AI service is temporarily unavailable:,AI 服務暫時無法使用：,
API Status:,API 狀態：,
Active Conversion,活躍轉化,
Application,應用程式,
Auto-integrated analysis modules:,自動整合分析模組：,
Automatically loading module data and generating the report...,正在自動載入模組資料並生成報告...,
Brand Attribute Evaluation,品牌屬性評價,
Brand DNA,品牌DNA,
Brand Positioning,品牌定位,
Brand Positioning Strategy Recommendations,品牌定位策略建議,
BrandEdge,BrandEdge,
Click the Generate Integrated Report button in the left sidebar to automatically combine data from all analysis modules.,請點擊左側邊欄的「生成整合報告」按鈕以自動整合所有分析模組的資料。,
Collecting all analysis results...,收集所有分析結果...,
Customer DNA Analysis,顧客DNA分析,
Customer Growth,客戶增長,
Customer Retention,客戶留存,
Customer Tag Export,顧客標籤輸出,
Comprehensive Diagnosis,綜合診斷,
Comprehensive Customer Diagnosis,綜合顧客診斷,
Comprehensive Operations Diagnosis,綜合營運診斷,
"Click the AI analysis button on the left to generate a comprehensive diagnosis report covering all 11 indicators: RFM, CAI, NES, IPT, PCV, AOV by NES, transaction consistency, CLV, P(alive), expected transactions, and CRI/RSV.","點擊左側 AI 分析按鈕，產出涵蓋全部 11 項指標的綜合診斷報告：RFM、CAI、NES、IPT、PCV、各客群客單價、交易穩定度、CLV、P(alive)、預期交易次數、CRI/RSV。",
"Click the AI analysis button on the left to generate a comprehensive operations diagnosis report covering revenue, customer structure, retention, and engagement indicators.","點擊左側 AI 分析按鈕，產出涵蓋營收、客戶結構、留存及互動指標的綜合營運診斷報告。",
Download Report,下載報告,
Enter,進入,
Enter System,進入系統,
Enter password,請輸入密碼,
Enter system password,請輸入系統密碼,
Error message:,錯誤訊息：,
Formatting report...,格式化報告...,
Generate Integrated Report,生成整合報告,
Generated Time,生成時間,
Generating report content...,生成報告內容...,
Generating...,生成中...,
Ideal Rate Analysis,理想點分析,
Incorrect password,密碼錯誤,
Initializing...,初始化中...,
InsightForge 360,InsightForge 360,
Integrated Report Center,整合報告中心,
Integrated Report Generation Guide,整合報告生成說明,
Integrating AI analysis content...,整合 AI 分析內容...,
Key Factor Analysis,關鍵因素分析,
Loading BrandEdge data...,載入 BrandEdge 資料...,
Loading InsightForge data...,載入 InsightForge 資料...,
Loading Marketing Vital Signs data...,載入 Marketing Vital Signs 資料...,
Loading TagPilot data...,載入 TagPilot 資料...,
Login successful,登入成功,
MAMBA Integrated Analysis Report,MAMBA 整合分析報告,
Market Indicators,市場指標,
Macro Market Indicators,宏觀市場指標,
Key Performance Indicators,關鍵績效指標,
Customer data analysis,客戶資料分析,
records,筆記錄,
Unique product count,獨立產品數,
Data source,資料來源,
Customer Profile Database,客戶檔案資料庫,
Data coverage date,資料涵蓋時間,
KPI data loaded,KPI 資料已載入,
Waiting for KPI module data...,等待 KPI 模組資料載入...,
"Data is loading, please try again later...",資料載入中，請稍後重試...,
Market Insights,市場洞察,
Market Segmentation and Target Market Analysis,市場區隔與目標市場分析,
Market Track,市場賽道,
Market Track Analysis,市場賽道分析,
Product Track Competitiveness Analysis,產品賽道競爭力分析,
Poisson analysis records,Poisson 分析記錄,
Number of analysis indicators,分析指標數,
Poisson Analysis Database,Poisson 分析資料庫,
Rating and review analysis in progress,評分與評論分析進行中,
Market positioning recommendations are being generated,市場定位建議生成中,
"Market analysis module data is loading, please try again later...",市場分析模組資料正在載入中，請稍後重試...,
Marketing Decision Table,行銷決策表,
Marketing Vital-Signs,Marketing Vital-Signs,
